;track_id;track_name;track_artist;track_popularity;track_album_id;track_album_name;track_album_release_date;playlist_name;playlist_id;playlist_genre;playlist_subgenre;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
0;3bT5PDBhVj4ifU11zQvGP2;Red Lights;Tiësto;5;6r4WlaL3yGXz3HLWxJwsdc;Red Lights;13.12.2013;Fitness Workout Electro | House | Dance | Progressive House;6KnQDwp0syvhfHOR4lWP7x;edm;progressive electro house;0.653;0.829;10;-4.783;0;0.0377;0.000739;1.5e-06;0.225;0.545;124.989;263890
15;3movM7HeDSPPURaOARtqhl;Perfect Strangers - Pedro Carrilho Remix;Jonas Blue;0;0pAGaxVUlbP0p4PEBXFRPR;Perfect Strangers (Remixes);22.07.2016;EDM - pop remixes;0cvVad4XizGbOS0vlwZYS5;edm;pop edm;0.694;0.816;10;-5.124;0;0.0374;0.0387;6.31e-06;0.287;0.544;126.025;274336
5;1HGpnAIot58B4mNtfn0arH;Ursa Major - Pad One Rmx;Audio Storm;5;4aiYJRW0ggtvWmNghiZFRo;Deep Progressive House Set;12.02.2018;Selected House;2JPzPB9jnvJLAYtmCbvZy8;edm;progressive electro house;0.776;0.502;4;-11.465;0;0.133;0.116;0.895;0.095;0.48;123.025;444878
16;6a2CA3DWbpnd1zMnqMca68;It Could Be - Genix Remix;Armin van Buuren;8;4WPXKl9MztkI4rs84VElPz;Balance (Remixes, Pt. 1);17.01.2020;Dancefloor Beats;6mMk6QCzEgT3QGaCV1R4S5;edm;big room;0.678;0.99;3;-5.439;0;0.0425;0.000428;0.88;0.0747;0.235;128.001;168250
3;5A2fkyeIbRqwXGkIdadL5q;Un Poco Loca (feat. De La Ghetto);Jowell & Randy;58;1tYGsYdYq3svOlTzAlojm1;Los Mas Sueltos Del Reggaeton;18.12.2007;Reggaeton De Ayer;37i9dQZF1DWWU6Rfto8Ppm;latin;reggaeton;0.806;0.738;2;-4.75;0;0.162;0.221;0.0011;0.156;0.808;176.098;273160
6;20fQVuio8RcGPleqONoGx6;Camuflaje;Alexis y Fido;61;4qXNRlaRSR6ps3oyeEcvVk;Perreología;21.03.2011;REGGAETON VIEJO;31hG19URdBvLEpQWKFYfdD;latin;reggaeton;0.743;0.821;3;-6.047;0;0.06;0.423;0.0;0.325;0.828;82.061;218000
14;6elUdvgtbNi1LrD3jPLKpe;One Shot;Hansie;44;5ZzCTm2oxNZdW6bMWCKtmV;One Shot;17.01.2020;🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\;1d0fonZHpN4LYHTKbmNRbm;latin;latin hip hop;0.638;0.757;6;-5.166;0;0.0816;0.287;0.000338;0.109;0.737;177.938;162731
13;7IpRYJ71dk98P0SmgnNLYh;Sígueme - Remix;Feid;66;56dHJTQQ8lMGgBegxfYVDM;19;17.05.2019;Academia Reggaetón;37i9dQZF1DXd8p9XRfIfUn;latin;reggaeton;0.685;0.515;1;-5.662;0;0.241;0.62;6.44e-05;0.107;0.664;86.492;201813
20;4ob71GMH7PAokRzPhejagR;Awa Ni;The Knocks;55;0JcasIRv6rbQG0Bb98o7In;Awa Ni;21.06.2019;The Sound of Indie Poptimism;7nHgmv7uyIA1KHj6qTttjH;pop;indie poptimism;0.667;0.818;1;-6.167;1;0.131;0.0358;0.000117;0.329;0.43;119.005;219777
4;34iOdwktu3ZDhujxpsAqe7;Stuck On You;Nick Strand;39;7l32WTeC5bxmYNLtEWml4m;Stuck On You;20.09.2019;post-teen alternative, indie, pop (large variety);1y42gwI5cuwjBslPyQNfqb;pop;post-teen pop;0.58;0.664;1;-2.866;1;0.0748;0.429;0.0;0.146;0.436;146.001;158467
12;05mAIVLkIWc2d1UBYZBCp8;1999;Charli XCX;71;49Teqcxp4dOBayTBtR3j5W;1999;05.10.2018;Electropop 2019;4Bi8VLtaSu0JILliif8lH6;pop;electropop;0.739;0.742;7;-4.586;1;0.0329;0.0227;1.39e-06;0.229;0.659;124.016;189000
22;1tL1wrbBwzXpUhjItFytoY;Apple Pie;Lizzy McAlpine;50;6GrP5hH95eUDToww5abVsd;Apple Pie;19.12.2019;The Pulse of Indie Poptimism;5qFXOOxrQVyS4UCq3UilZN;pop;indie poptimism;0.594;0.315;10;-9.919;1;0.0327;0.846;1.31e-05;0.122;0.345;89.675;259167
17;2ZWlPOoWh0626oTaHrnl2a;Ivy;Frank Ocean;77;3mH6qwIy9crq0I9YQbOuDf;Blonde;20.08.2016;Urban Contemporary;4425cRh83Uzor4qCRfM9lb;r&b;urban contemporary;0.567;0.388;9;-9.579;1;0.0384;0.782;0.000309;0.248;0.452;116.362;249191
9;3ijQVbhH7ste0tjyY2truU;Where we gonna go;St. Viper;41;53e47Tht8Y24E1VC4QldVm;Zaraze;01.01.2008;Nidza Bleja - English HIP HOP/POP Songs;5XQopnmKZnE6RjR6NIzbPS;r&b;hip pop;0.843;0.836;9;-5.439;1;0.255;0.224;0.0;0.113;0.611;99.999;165642
1;2P91MQbaiQOfbiz9VqhqKQ;I Like Me Better;Lauv;79;7lqieLm717j9Z8JrG7POkS;I met you when I was 18. (the playlist);31.05.2018;Hip Pop 2019;3tmx4p5RGlOV1AapXOt1Ze;r&b;hip pop;0.752;0.505;9;-7.621;1;0.253;0.535;2.55e-06;0.104;0.419;91.97;197437
10;3Yt0liwMgB3I0xv3FQBDzI;Buying Time;Lucky Daye;61;4w2JvzBwaKaYBdLWeepWI3;Buying Time;18.09.2019;New R&B‏‏​​   ‍;4I6rTSxqKl1LRvES2O9owQ;r&b;urban contemporary;0.765;0.437;5;-8.994;1;0.0373;0.734;0.00347;0.167;0.667;117.99;236949
19;1knDG6hRiyjs3d7tG4GJ2Z;The Code;The Game;66;5MDmKDe9kmJBsf8yYn8dUM;Born 2 Rap;29.11.2019;A1 Hip-Hop;37i9dQZF1DX0sDai2F5jCQ;rap;hip hop;0.789;0.679;10;-6.236;0;0.275;0.0627;1.94e-06;0.0752;0.541;95.007;349265
18;2sS5cCGcwXrSl7hQ8AL3Oc;Mis Días Sin Ti;Rauw Alejandro;66;0YFL4nsXKldtzlUKTZVpT5;Mis Días Sin Ti;27.12.2019;Flow Selecto;37i9dQZF1DX4OjfOteYnH8;rap;trap;0.544;0.572;5;-6.272;0;0.147;0.41;0.0;0.115;0.36;179.88;253333
23;2Egoo3acImq7hV6TfYV90E;Everybody Dies;Logic;59;1lyjkFTJ6yxUyNYysWVBo9;YSIV;28.09.2018;This Is Logic;37i9dQZF1DWTIuAboZgTMf;rap;hip hop;0.784;0.922;2;-3.92;1;0.152;0.141;3.48e-06;0.377;0.836;94.082;250213
2;17r16Atqljpae7Jggjds2W;Qarabag (Remix);Cricced;38;1z56hPZwaeqanBAyFdsZIJ;Legend;24.04.2018;Arabic Trap;37i9dQZF1DXcC6YLqj8ET8;rap;trap;0.818;0.431;0;-11.846;1;0.201;0.00345;0.872;0.133;0.0786;130.022;156996
7;4mn2kNTqiGLwaUR8JdhJ1l;The House of the Rising Sun;The Animals;73;1v4O55JGou3T0Vlj06fdXz;The Singles Plus;19.10.1987;Hard Rock Cafe Classics;3sv5ViKoPDNnZRsklzEGMN;rock;hard rock;0.316;0.484;9;-9.11;0;0.0308;0.000334;0.00445;0.0912;0.299;117.363;269907
21;21jBRxUvrWXTwBfGnQwyVy;Another Brick In The Wall, Pt. 2 - 2011 Remastered Version;Pink Floyd;17;1ITpsfAcoaSe4i1tUXm44D;The Wall [2011 - Remaster] (2011 Remastered Version);30.11.1979;Hard Rock Cafe Classics;3sv5ViKoPDNnZRsklzEGMN;rock;hard rock;0.694;0.394;0;-15.881;0;0.0428;0.0781;0.000677;0.247;0.719;104.126;238747
8;0cKuO2BdECtbVQDCGx1dqa;Eye of the Tiger;Survivor;48;7gdUVn0UOUaKcv1RM3iroQ;The Best Of Survivor;2006;Classic Rock Radio;4lIywN6kXl9KPm3OQ8u8G7;rock;classic rock;0.824;0.556;0;-10.711;0;0.033;0.146;0.000394;0.0839;0.566;108.858;245640
11;2N2QYANz84q0gQrWp4QTg8;Doing Yoga;Kazy Lambist;58;0H5IAA55ON8uu1bLRmckO7;On You (Radio Edit) - Single;01.08.2016;Permanent wave 🌊;0QN4FeJQ1mpCygRg9r2JIK;rock;permanent wave;0.732;0.76;4;-6.82;0;0.0922;0.214;0.00112;0.389;0.318;108.993;291573
